,manager,predicted_points_per_season_added,previous_club_names,previous_club_ids,previous_club_countries,current_club_name,current_club_id,currently_employed
52,José Mourinho,0.8436370887913941,"['Chelsea', 'Inter Milan', 'Real Madrid', 'Chelsea', 'Manchester United']","[631, 46, 418, 631, 985]","['England', 'Italy', 'Spain', 'England', 'England']",,,0
53,Sérgio Conceição,0.8338917392274849,['Nantes'],[995],['France'],,,0
54,Jorge Sampaoli,0.8264378384578721,['Sevilla'],[368],['Spain'],,,0
55,Siniša Mihajlovi?,0.8239129839879841,"['Bologna', 'Catania', 'Fiorentina', 'Sampdoria', 'AC Milan', 'Torino']","[1025, 1627, 430, 1038, 5, 416]","['Italy', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy']",,,0
56,Dieter Hecking,0.808107603033943,"['Aachen', 'Hannover', 'Nürnberg', 'Wolfsburg', 'Borussia Mönchengladbach']","[8, 42, 4, 82, 18]","['Germany', 'Germany', 'Germany', 'Germany', 'Germany']",Borussia Mönchengladbach,18.0,1
57,Fernando Vázquez,0.801080913051275,"['Celta Vigo', 'Deportivo La Coruña']","[940, 897]","['Spain', 'Spain']",,,0
58,Quique Setién,0.76926342109208,"['Las Palmas', 'Real Betis']","[472, 150]","['Spain', 'Spain']",Real Betis,150.0,1
59,Eric Gerets,0.759263420052558,"['Wolfsburg', 'Marseille']","[82, 244]","['Germany', 'France']",,,0
60,Laurent Blanc,0.7044686372383709,"['Bordeaux', 'Paris Saint-Germain']","[40, 583]","['France', 'France']",,,0
61,Claudio Ranieri,0.6931318725711121,"['Valencia', 'Parma', 'Juventus', 'Roma', 'Inter Milan', 'Monaco', 'Leicester', 'Nantes', 'Fulham']","[1049, 130, 506, 12, 46, 162, 1003, 995, 931]","['Spain', 'Italy', 'Italy', 'Italy', 'Italy', 'France', 'England', 'France', 'England']",Fulham,931.0,1
62,Steve Coppell,0.653592118896234,['Reading'],[1032],['England'],,,0
63,Roy Hodgson,0.647190415479306,"['Fulham', 'Liverpool', 'West Bromwich Albion', 'Crystal Palace']","[931, 31, 984, 873]","['England', 'England', 'England', 'England']",Crystal Palace,873.0,1
64,Francis Gillot,0.641678843140033,"['Lens', 'Sochaux', 'Bordeaux']","[826, 750, 40]","['France', 'France', 'France']",,,0
65,Edoardo Reja,0.621742985839673,"['Napoli', 'Lazio', 'Lazio', 'Atalanta']","[6195, 398, 398, 800]","['Italy', 'Italy', 'Italy', 'Italy']",,,0
66,Jean-Louis Gasset,0.5978451880813249,"['Montpellier', 'Saint-Étienne']","[969, 618]","['France', 'France']",Saint-Étienne,618.0,1
67,Eusebio,0.589543627253451,"['Real Sociedad', 'Girona']","[681, 12321]","['Spain', 'Spain']",Girona,12321.0,1
68,Tito Vilanova,0.581855700728045,"['Barcelona', 'Barcelona', 'Barcelona']","[131, 131, 131]","['Spain', 'Spain', 'Spain']",,,0
69,Pál Dárdai,0.540588956530039,['Hertha'],[44],['Germany'],Hertha,44.0,1
70,Sabri Lamouchi,0.538063471024121,['Rennes'],[273],['France'],,,0
71,Sergio,0.519064279815052,"['Espanyol', 'Valladolid']","[714, 366]","['Spain', 'Spain']",Valladolid,366.0,1
72,Florian Kohfeldt,0.5154701557014171,['Werder Bremen'],[86],['Germany'],Werder Bremen,86.0,1
73,Eric Sikora,0.513454170652074,['Lens'],[826],['France'],,,0
74,Sean Dyche,0.49865410201957105,['Burnley'],[1132],['England'],Burnley,1132.0,1
75,Tayfun Korkut,0.49759440367711105,"['Hannover', 'Stuttgart']","[42, 79]","['Germany', 'Germany']",,,0
76,Christian Gross,0.44726013085968896,['Stuttgart'],[79],['Germany'],,,0
77,Nando Yosu,0.44642866664067105,"['Racing Santander', 'Racing Santander']","[630, 630]","['Spain', 'Spain']",,,0
78,Guus Hiddink,0.43882373660732205,['Chelsea'],[631],['England'],,,0
79,Juan Carlos Oliva,0.434363546907331,['Alavés'],[1108],['Spain'],,,0
80,Frédéric Antonetti,0.42940437774312296,"['Nice', 'Rennes', 'Lille']","[417, 273, 1082]","['France', 'France', 'France']",,,0
81,Roger Schmidt,0.42552492880138504,['Bayer Leverkusen'],[15],['Germany'],,,0
82,Sven-Göran Eriksson,0.413037069366939,['Manchester City'],[281],['England'],,,0
83,Joaquín Caparrós,0.40949728961543,"['Sevilla', 'Deportivo La Coruña', 'Athletic Bilbao', 'Mallorca', 'Levante', 'Granada', 'Osasuna', 'Sevilla']","[368, 897, 621, 237, 3368, 16795, 331, 368]","['Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain']",,,0
84,Chris Hughton,0.405940480745327,"['Newcastle', 'Norwich', 'Brighton']","[762, 1123, 1237]","['England', 'England', 'England']",Brighton,1237.0,1
85,Franco Colomba,0.398686576151326,"['Livorno', 'Cagliari', 'Bologna', 'Parma']","[1210, 1390, 1025, 130]","['Italy', 'Italy', 'Italy', 'Italy']",,,0
86,Ernesto Valverde,0.39466096694297204,"['Athletic Bilbao', 'Espanyol', 'Villarreal', 'Valencia', 'Athletic Bilbao', 'Barcelona']","[621, 714, 1050, 1049, 621, 131]","['Spain', 'Spain', 'Spain', 'Spain', 'Spain', 'Spain']",Barcelona,131.0,1
87,Adi Hütter,0.39121519125496795,['Eintracht Frankfurt'],[24],['Germany'],Eintracht Frankfurt,24.0,1
88,Patrick Gabriel,0.39058615248373607,['Nancy'],[1159],['France'],,,0
89,Nigel Pearson,0.38988226980752505,['Leicester'],[1003],['England'],,,0
90,Gianluca Festa,0.38726521676237,['Cagliari'],[1390],['Italy'],,,0
91,Julien Stéphan,0.371026953705999,['Rennes'],[273],['France'],Rennes,273.0,1
92,Roberto D'Aversa,0.36351763495693395,['Parma'],[130],['Italy'],Parma,130.0,1
93,Huub Stevens,0.36091403286370893,"['Hamburg', 'Schalke', 'Stuttgart', 'Stuttgart', 'Hoffenheim']","[41, 33, 79, 79, 533]","['Germany', 'Germany', 'Germany', 'Germany', 'Germany']",,,0
94,Massimo Carrera,0.358288195479267,['Juventus'],[506],['Italy'],,,0
95,Bernard Blaquart,0.347629302190485,['Nîmes'],[1160],['France'],Nîmes,1160.0,1
96,Willy Sagnol,0.336806806885366,['Bordeaux'],[40],['France'],,,0
97,Steve Clarke,0.332545490314699,['West Bromwich Albion'],[984],['England'],,,0
98,Michel Der Zakarian,0.326667731721349,"['Nantes', 'Nantes', 'Montpellier']","[995, 995, 969]","['France', 'France', 'France']",Montpellier,969.0,1
99,Ghislain Printant,0.32507580515268,['Bastia'],[595],['France'],,,0
100,Maurizio Pellegrino,0.32443875625933194,['Catania'],[1627],['Italy'],,,0
101,Massimo Silva,0.322972933268422,['Ascoli'],[408],['Italy'],,,0
102,Imanol Alguacil,0.32267830986688,['Real Sociedad'],[681],['Spain'],,,0
103,Paulo Sousa,0.321085687657845,['Fiorentina'],[430],['Italy'],,,0
