TM_manager_name,CurrentTeam,PrevCareerMatches,PrevCareerAdjPtsAboveExpectation,ProjPointsAboveAverage
David Wagner,Huddersfield,58,-9.62673774205875,-0.704518273158761
Víctor Fernández,,87,-10.2011773715981,-0.707067647313429
Fernando Orsi,,20,-8.99009337661594,-0.709877747718119
Martín Monteagudo,,13,-8.86015192748708,-0.709943893514641
Michael Henke,,13,-8.91632907860811,-0.714445241315427
Sammy Lee,,11,-8.9401162752809,-0.71938508158939
Rudi Bommer,,34,-9.45050492377943,-0.725137637346572
Abel Resino,,99,-10.8368409542832,-0.735038385423083
Lorenzo Serra Ferrer,,76,-10.4159239481739,-0.736734148769715
Julen Lopetegui,,10,-9.14515702024391,-0.737445693994672
Holger Stanislawski,,54,-10.051143825422,-0.741288325268789
Thomas Schneider,,21,-9.41021621013838,-0.741510755453704
Bruno Labbadia,Wolfsburg,228,-13.4728555968984,-0.742798502427691
David O'Leary,,76,-10.5029136958109,-0.742887065975708
Paul Le Guen,,133,-11.6721884630103,-0.746400576658405
Lawrie Sanchez,,22,-9.52562050369542,-0.749051172963158
José Antonio Romero,,11,-9.34325920478613,-0.751824817304706
Zdenek Zeman,,96,-11.0960369613379,-0.756670901136602
Paul Hart,,27,-9.74882869494431,-0.758752607359395
Gabriel Calderón,,18,-9.62352441162334,-0.763066100938214
André Villas-Boas,,81,-10.9656783959602,-0.768467163149372
Alex McLeish,,138,-12.2559947807855,-0.777193833550244
Thomas von Heesen,,72,-10.926816713251,-0.778667883386133
Juan Ramón López Caro,,42,-10.3211883358782,-0.779355738568305
Terry Connor,,13,-9.76255877984568,-0.782251709400983
Paco Herrera,,32,-10.288926365411,-0.792670890118039
Neil Warnock,Cardiff,94,-11.7422428018518,-0.803621828158381
Avram Grant,,94,-11.7607644711663,-0.804889423966631
Jürgen Klinsmann,,29,-10.3903013638238,-0.805379414810785
Holger Fach,,27,-10.4007572357504,-0.809492290620536
Angelo Gregucci,,9,-10.1338507383368,-0.81890958402254
Sylvain Ripoll,,86,-11.8882815899776,-0.825510556122179
Domenico Di Carlo,Chievo,210,-14.8031057002293,-0.83802466777863
Vincenzo Montella,,260,-16.0833841333624,-0.847382608208532
Dick Advocaat,,35,-11.1031646630661,-0.850229494858302
Chris Coleman,,109,-12.7653610132682,-0.850661729499787
André Breitenreiter,Hannover,119,-13.049158887188,-0.854587158562883
Alain Perrin,,138,-13.6737426555457,-0.867097992739349
John Carver,,18,-10.9960091702227,-0.871892820604102
Ciro Ferrara,,40,-11.5622562791948,-0.876552734185617
Álvaro Cervera,,13,-10.9394798817987,-0.876555729954846
Torsten Lieberknecht,,34,-11.4700445508046,-0.880096997241084
Jean Tigana,,34,-11.5849374268645,-0.888912732417778
Mike Büskens,,22,-11.3563220009512,-0.89300915484296
Laurent Guyot,,38,-11.7587775936056,-0.895022536031961
Francisco Rodríguez,Huesca,61,-12.3871039696136,-0.901323980529948
Alberto Malesani,,126,-13.9579998309298,-0.903210736763082
Serge Le Dizet,,63,-12.4786301141926,-0.90451972411081
Bruno Giordano,,25,-11.6715831691869,-0.912137247038535
Gary Megson,,94,-13.4403211907273,-0.919835815745925
Albert Cartier,,38,-12.1952485560592,-0.928244641357942
Frank de Boer,,15,-11.649757392205,-0.929548519415525
Dominique Bijotat,,44,-12.3696153583778,-0.930335657122187
Giovanni Martusciello,,38,-12.4537711989216,-0.947922162222203
Staale Solbakken,,30,-12.2616480717654,-0.94849763828259
Rolando Maran,Cagliari,220,-17.0646062915371,-0.951870681064502
Pascal Dupraz,,180,-16.1438824344484,-0.956685270356368
Juan Carlos Garrido,,77,-13.6098305398397,-0.960855527516688
Markus Gisdol,,133,-15.1374157381982,-0.967991210210051
Marco Baroni,Frosinone,15,-12.2172309155902,-0.974827932171636
Roberto De Zerbi,Sassuolo,60,-13.412683416601,-0.977820660548424
José González,,55,-13.3823965792897,-0.985061833796422
László Bölöni,,106,-14.7223184259388,-0.986258634637738
Pierpaolo Bisoli,,31,-12.9365078194163,-0.998668353309844
Marcelo Bielsa,,128,-15.6880804910755,-1.01171718712569
Stuart Pearce,,85,-14.5582260480455,-1.01275952621197
Dino Zoff,,18,-12.9509575354818,-1.02690409950854
Paco Jémez,,179,-17.3124524840276,-1.02753705942593
Bruno Conti,,10,-12.7787634032621,-1.03045185833901
Gianfranco Zola,,83,-14.965833294284,-1.04494110897491
Dominique Arribagé,,37,-13.7229854827501,-1.0466251758402
François Ciccolini,,74,-14.7762114451954,-1.0490492254296
Manolo Hierro,,17,-13.2547302235353,-1.05318837705975
Miroslav Djukic,,82,-15.0727237783292,-1.05434165619037
Gary Neville,,17,-13.3708845142818,-1.06241771231567
Zvonimir Soldo,,43,-14.2826322589231,-1.07634662494825
Davide Nicola,Udinese,83,-15.605705535941,-1.08961812739757
Luigi Delneri,,310,-22.4040136327003,-1.10387095788272
Klaus Augenthaler,,89,-16.1784908013074,-1.11729342197501
Bryan Robson,,64,-15.4469845681606,-1.11755063386294
Francis De Taddeo,,19,-14.2019294545022,-1.12375100638902
Michel Pavon,,38,-14.9011912101323,-1.13420819814148
Armin Veh,,246,-21.1205036276195,-1.13480002694007
Rémi Garde,,134,-17.7914242606698,-1.13579556536999
Sir Kenny Dalglish,,56,-15.5401995415605,-1.14168354453168
Bortolo Mutti,,126,-17.8620547341673,-1.15583893193636
Gaizka Garitano,Ath Bilbao,64,-15.987307405324,-1.15664163744996
Fabio Pecchia,,38,-15.3633595570862,-1.1693862668371
Ivan Juric,,51,-15.7642412581701,-1.16944772826297
Quique Sánchez Flores,,307,-23.6987654556271,-1.17222458617051
Guy Lacombe,,191,-20.2109677545614,-1.1775013625562
Iain Dowie,,59,-16.162305426788,-1.18054035017993
Alberto Cavasin,,48,-15.8340379284879,-1.18154533037012
Pako Ayestarán,,19,-14.9584120752236,-1.18360893689592
Thomas Schaaf,,350,-25.5261396452771,-1.19568804522548
Walter Novellino,,165,-19.7617552207056,-1.19913028881739
Peter Neururer,,59,-16.7161757881241,-1.22099660274166
Faruk Hadzibegic,,31,-15.9196862256583,-1.22896279661546
Albert Emon,,143,-19.6418888568152,-1.23525143889968
Luigi De Canio,,147,-19.7948319218658,-1.2366831545398
Jean-Pierre Papin,,34,-16.164268526401,-1.24028499886569
Bert van Marwijk,,100,-18.3197059706566,-1.24037019008307
Diego López,,72,-17.6406890931135,-1.25711251484155
Steve Bruce,,317,-25.8898781030552,-1.26414967125033
Laurent Fournier,,60,-17.4799302052663,-1.2743338800123
Cristian Bucchi,,25,-16.3081039112854,-1.2744825436646
Steve Kean,,58,-17.6788375040205,-1.29379904215852
Jos Luhukay,,109,-19.6063276454076,-1.30653199440632
Víctor Muñoz,,131,-20.600369495506,-1.32177892787652
Louis van Gaal,,139,-21.4715138257669,-1.35931249509122
Tony Adams,,22,-17.5893030501806,-1.38314224004945
Mick McCarthy,,129,-22.2390107276698,-1.43175388345322
José Luis Oltra,,77,-20.3555049800193,-1.43710088220359
Silvio Baldini,,62,-19.9897599123555,-1.45173691885637
Massimo Oddo,,46,-19.4177353884282,-1.4546760612553
Graeme Souness,,61,-20.0046083871804,-1.45559715206287
Norbert Meier,,62,-20.3003891642226,-1.47429606688964
Míchel,,197,-25.6556857308381,-1.48108884998579
Michael Oenning,,31,-19.5332253229278,-1.50791962099697
Juan Muñiz,,103,-23.0761277653758,-1.55410555466671
Filippo Inzaghi,Bologna,57,-21.4968813095808,-1.57625249120338
Volker Finke,,34,-21.2643251845624,-1.63161255916644
Gareth Southgate,,114,-24.9642224532343,-1.6491131548112
Friedhelm Funkel,Fortuna Dusseldorf,180,-30.3329089559302,-1.79752592494587
Alberto Zaccheroni,,41,-24.2522346100913,-1.83493906213073
Héctor Cúper,,89,-26.8572957737065,-1.8547762129688
Lucas Alcaraz,,194,-32.0201004698628,-1.85696635700816
Antoine Kombouaré,,344,-39.4946588307703,-1.86378202083923
Javier Irureta,,59,-26.0673104374568,-1.90402983853274
Joël Muller,,60,-26.1798901966246,-1.90858433991398
Mario Beretta,,186,-33.3237799344417,-1.95645846637304
Didier Deschamps,,159,-32.5314482021908,-1.99308246766745
Steve McClaren,,125,-32.0844696034801,-2.07970121669449
Giovanni De Biasi,,98,-30.806218038103,-2.09325234957187
Michael Frontzeck,,159,-34.6352544392934,-2.12197495657473
Andrea Stramaccioni,,85,-33.5717991023111,-2.33546032605428
Jean-Marc Furlan,,168,-40.3638508951134,-2.43757474360779
Cuco Ziganda,,137,-42.6957054271933,-2.71200394166054
Carlo Ancelotti,Napoli,458,-67.6153685384605,-2.79510922541647
Mehmed Bazdarevic,,121,-42.8282837176516,-2.7951823663386
