,TM_manager_name,tenure1_overperformance,tenure1_above_expectation,tenure2_overperformance,tenure2_above_expectation,tenure3_overperformance,tenure3_above_expectation,tenure4_overperformance,tenure4_above_expectation,tenure5_overperformance,tenure5_above_expectation
94,Tony Adams,0,-0.6654924691882534,,,,,,,,
95,Ariel Jacobs,0,-0.27512459076817364,,,,,,,,
96,Edmund Becker,0,-0.05521062713150915,,,,,,,,
97,Maik Walpurgis,1,0.1883617461287852,,,,,,,,
98,José Antonio Camacho,0,-0.035185118888024114,,,,,,,,
99,José Mourinho,1,0.24659379262990777,1.0,0.04899238501481884,1.0,0.1107250388256027,0.0,-0.072431812637479,0.0,-0.011424260124122121
100,Eusebio,1,0.11225263744500236,1.0,0.12554132312931632,,,,,,
101,Juan Carlos Unzué,0,-0.008051040323928671,,,,,,,,
102,Gernot Rohr,0,-0.09305142180190273,,,,,,,,
103,Sascha Lewandowski,1,0.4467598476686687,,,,,,,,
104,Michael Oenning,0,-0.3532433214710401,,,,,,,,
105,Alan Curbishley,1,0.00324647679932899,1.0,0.037182137885323874,,,,,,
106,Thomas von Heesen,0,-0.04226875377640149,0.0,-0.4031628842035251,,,,,,
107,Robin Dutt,1,0.1241689072071488,0.0,-0.125736875546699,0.0,-0.20450676938397638,,,,
108,Luiz Felipe Scolari,0,-0.22467643163746498,,,,,,,,
109,Sven-Göran Eriksson,1,0.17710809839928898,,,,,,,,
110,Albert Cartier,0,-0.2866212812896285,,,,,,,,
111,Zdenek Zeman,1,0.13405453099630749,1.0,0.11510590189437031,0.0,-0.3277253497777457,,,,
112,Antoine Kombouaré,1,0.03358205790283808,0.0,-0.10304362051105653,0.0,-0.2907919463363299,0.0,-0.05085228636975181,,
113,Loïc Amisse,0,-0.4023192012104403,,,,,,,,
114,José Anigo,0,-0.08524510665862484,,,,,,,,
115,László Bölöni,1,0.035594321881878166,0.0,-0.19942824872192166,,,,,,
116,François Ciccolini,0,-0.3721201279707338,0.0,-0.007850005728737841,,,,,,
117,Didier Deschamps,0,-0.20378915020296584,0.0,-0.15707221744568312,,,,,,
118,Jean Fernandez,1,0.012945452501448962,1.0,0.08876364303031448,0.0,-0.15580121554248838,0.0,-0.4049099524849651,,
119,Vahid Halilhodzic,0,-0.42600455006855054,,,,,,,,
120,Daniel Jeandupeux,0,-0.39075679454694234,,,,,,,,
121,Guy Lacombe,1,0.04919036735019344,0.0,-0.6592555438699295,1.0,0.23256702287385678,0.0,-0.06955917063048211,,
122,Paul Le Guen,1,0.2253794392658588,0.0,-0.16498808021501232,,,,,,
123,Joël Muller,0,-0.31245226361630096,0.0,-0.45388320156877027,,,,,,
124,Michel Pavon,0,-0.35783029850207826,,,,,,,,
125,Yvon Pouliquen,0,-0.23098923371628877,,,,,,,,
126,Claude Puel,1,0.2343770894651005,0.0,-0.19856332690149348,1.0,0.2011175695704528,1.0,0.008996585375632193,1.0,0.06268021852891859
127,Erick Mombaerts,0,-0.06341920640551102,,,,,,,,
128,Michael Frontzeck,0,-0.05079792095255553,0.0,-0.2299715126495615,0.0,-0.22177142652752668,0.0,-0.1676381689770461,,
129,Peter Bosz,0,-0.4694113347657889,,,,,,,,
130,Andries Jonker,0,-0.35020508364460357,,,,,,,,
131,Gertjan Verbeek,0,-0.2547782764737584,,,,,,,,
132,Élie Baup,1,0.09044451567633738,0.0,-0.02354051921618039,0.0,-0.1882985395564365,1.0,0.15662016104735121,,
133,Andrea Mandorlini,1,0.13580237415442942,,,,,,,,
134,Bortolo Mutti,1,0.0710585125225145,0.0,-0.1175463584140255,0.0,-0.4250748030600986,,,,
135,Vladimir Petkovic,0,-0.12839522258663938,,,,,,,,
136,Brendan Rodgers,1,0.34485075789350317,1.0,0.08792618988405687,,,,,,
137,Jürgen Klinsmann,0,-0.3239799416340834,,,,,,,,
138,Mehmed Bazdarevic,0,-0.4364319506781831,0.0,-0.23816659036114118,0.0,-0.4724750769278159,,,,
139,Patrick Remy,0,-0.05294616792243545,,,,,,,,
140,Domenico Caso,0,-0.43586499340667473,,,,,,,,
141,Rafael Benítez,1,0.04532619983349151,0.0,-0.5956164809949638,0.0,-0.026546669662583344,1.0,0.10267587752664609,0.0,-0.26905489991217735
142,Ian Holloway,1,0.20686694103011893,,,,,,,,
143,Neil Warnock,0,-0.06965258174456324,0.0,-0.1888133337380603,0.0,-0.1175060410300115,0.0,-0.010714400448725625,,
144,Pablo Correa,1,0.13928957337221504,1.0,0.10568090753740211,0.0,-0.1573714695573818,,,,
145,Rudi Garcia,1,0.18789820194209206,1.0,0.21808767556504782,1.0,0.22074350320287306,1.0,0.2629725007626371,,
146,Christian Gourcuff,1,0.11228037482017061,0.0,-0.07180474793742464,,,,,,
147,Faruk Hadzibegic,0,-0.4792319530529382,,,,,,,,
148,Philippe Hinschberger,0,-0.13128017560971317,,,,,,,,
149,Javier Aguirre,1,0.37019917906800326,1.0,0.014802294762653379,0.0,-0.028866696345230647,1.0,0.03655303946797872,,
150,Lucas Alcaraz,0,-0.09655159604224028,0.0,-0.16755520606851437,0.0,-0.24300904237569187,1.0,0.014539912162646607,0.0,-0.21840020477136013
151,Joaquín Caparrós,1,0.28111988311837655,0.0,-0.12681093514896857,1.0,0.15381162377665203,1.0,0.019452254024096227,1.0,0.10690834781080238
152,César Ferrando,0,-0.20756579274531095,,,,,,,,
153,Lorenzo Serra Ferrer,0,-0.10274531860614755,,,,,,,,
154,Quique Sánchez Flores,1,0.08345639591294729,0.0,-0.06083445787334285,0.0,-0.27608316003484257,1.0,0.11077982877061143,1.0,0.03798085930351225
155,José González,0,-0.12794931085560002,0.0,-0.6734301730479673,,,,,,
156,Javier Irureta,0,-0.3482373409818118,0.0,-0.46576768649746403,,,,,,
157,Manuel Pellegrini,1,0.24224191906073544,1.0,0.3493594105778288,1.0,0.08958049582080996,0.0,-0.1323174141179022,1.0,0.051445558591834306
158,Ernesto Valverde,1,0.02224850906864928,0.0,-0.05055036440567329,0.0,-0.31507191204393004,1.0,0.21572290633030922,1.0,0.12200361347850341
159,Tony Mowbray,0,-0.06873760269361084,,,,,,,,
160,Carlos Carvalhal,1,0.025950999314358736,,,,,,,,
