country,party_id,party_abbrev,party_name_english,previous_election_date,previous_election_source,previous_election_share,previous_election_notes,previous_election_total_votes,previous_election_party_votes,latest_election,latest_election_source,latest_election_share,latest_election_notes,last_election_total_votes,last_election_party_votes
Greece,450,EK,"Enosi Kentroon	Union of Centrists",2012,http://www.parlgov.org/explore/GRC/election/2012-06-17/,0,,6155665,0,2015,http://www.parlgov.org/explore/GRC/election/2015-09-20/,3.4,,5431850,184683
Spain,501,PSOE,"Spanish Socialist Workers’ Party	Partido Socialista Obrero Español",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,29.1,Coalition PSC-PSOE,24015425,6988489,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,22.7,,23935195,5433289
Spain,502,PP,"People’s Party	Partido Popular",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,41.9,,24015425,10062463,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,33,,23935195,7898614
Spain,504,IU,"United Left	Izquierda Unida",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,7,Coalition CIP,24015425,1681080,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0,,23935195,0
Spain,505,CiU,"Convergence and Union	Convergència i Unió",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,4.2,,24015425,1008648,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0,,23935195,0
Spain,506,EAJ/PNV,"Basque Nationalist Party	Euzko Alderdi Jeltzalea/ Partido Nacionalista Vasco",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,1.4,,24015425,336216,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,1.2,,23935195,287222
Spain,507,EA,"Basque Solidarity	Eusko Alkartasuna",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,1.4,,24015425,336216,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0,,23935195,0
Spain,511,ERC,"Republican Left of Catalonia	Esquerra Republicana de Catalunya",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,1.1,,24015425,264170,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,2.6,,23935195,622315
Spain,513,BNG,"Galician Nationalist Bloc	Bloque Nacionalista Galego",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,0.8,,24015425,192123,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0.2,,23935195,47870
Spain,517,CC,"Canarian Coalition	Coalición Canaria",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,0.6,,24015425,144093,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0.3,,23935195,71806
Spain,518,ICV,"Initiative for Catalonia Greens	Iniciativa per Catalunya Verds",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,0,,24015425,0,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0,,23935195,0
Spain,523,UpyD,"Union, Progress and Democracy	Unión, Progreso y Democracia",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,4.8,,24015425,1152740,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0.2,,23935195,47870
Spain,524,Amaiur,"Amaiur	Amaiur",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,0,,24015425,0,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,0,,23935195,0
Spain,525,Podemos,"We Can	Podemos",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,0,,24015425,0,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,21.1,"Coalition ECP, EeM, EM",23935195,5050326
Spain,526,C's,"Citizens—Party of the Citizenry	Ciudadanos—Partido de la Ciudadanía",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,0,,24015425,0,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,13.1,,23935195,3135511
Spain,550,CDC/PDeCAT,"Convergència Democràtica de Catalunya/ Partit Demòcrata Europeu Català	Democratic Convergence of Catalonia/ Catalan European Democratic Party",2011,http://www.parlgov.org/explore/ESP/election/2011-11-20/,0,,24015425,0,2016,http://www.parlgov.org/explore/ESP/election/2016-06-26/,2,,23935195,478704
France,601,PCF,"French Communist Party	Parti Communiste Français",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,6.9,Rename FdG,25952859,1790747,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,2.7,Rename FdG,22654164,611662
France,602,PS,"Socialist Party	Parti Socialiste",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,29.4,,25952859,7630141,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,7.4,,22654164,1676408
France,603,PRG,"Radical Party of the Left	Parti Radical de Gauche",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,1.7,,25952859,441199,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,0.5,,22654164,113271
France,605,EELV,"Europe Ecology—The Greens	Europe Écologie—Les Verts",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,5.5,,25952859,1427407,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,4.3,,22654164,974129
France,609,UMP,"Union for Popular Movement	Union pour un Mouvement Populaire",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,27.1,,25952859,7033225,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,15.8,,22654164,3579358
France,610,FN,"National Front	Front National",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,13.6,,25952859,3529589,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,13.2,,22654164,2990350
France,612,MPF,"Movement for France	Mouvement Pour la France",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,0,,25952859,0,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,0,,22654164,0
France,613,MODEM,"Democratic Movement	Mouvement Democrate",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,1.8,,25952859,467151,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,4.1,,22654164,928821
France,621,NC,"New Center	Nouveau Centre",2012,http://www.parlgov.org/explore/FRA/election/2012-06-17/,2.2,,25952859,570963,2017,http://www.parlgov.org/explore/FRA/election/2017-06-18/,0,,22654164,0
