sex,age_bucket,lgbtq,inc_bucket,educ_n,region6,tenure3,poli_int_bucket,ge15_5,ge17_5,pop,pred_deal,pred_no_deal,pred_remain
Female,30-44,straight,15_25,3,Wales,own,low,Oth,Lab,2900,19.5,10,70.4
Male,30-44,straight,50+,5,London,mortgage,high,Oth,Oth,3500,3.8,3.8,92.4
Male,75+,straight,35_50,3,South,own,middling,DNV,DNV,2300,27.7,29.2,43.2
Male,30-44,straight,5_15,3,North,rent,middling,Lab,Oth,1000,16,19.2,64.8
Male,30-44,straight,50+,5,South,mortgage,high,Con,Con,11400,19.4,26.9,53.7
Male,30-44,straight,25_35,2,Midlands,rent,middling,Con,Con,3400,37.8,46.4,15.8
Female,45-60,straight,50+,5,South,mortgage,middling,Lab,Lab,4500,6.7,4.5,88.8
Male,45-60,straight,50+,3,Midlands,mortgage,high,Lab,Lab,7200,9,15.5,75.5
Male,60-75,straight,25_35,3,North,rent,high,DNV,DNV,400,18.5,52.1,29.4
Male,45-60,straight,35_50,1,Midlands,mortgage,middling,Con,Con,1600,36.8,51.2,12
Female,18-29,straight,5_15,3,Wales,rent,low,DNV,Lab,2900,24.6,10.8,64.6
Female,30-44,straight,25_35,4,Midlands,mortgage,middling,Lab,Lab,16800,11.9,7.5,80.5
Male,60-75,straight,25_35,5,Scotland,mortgage,low,Con,Con,900,33.6,34.2,32.2
Male,60-75,straight,15_25,3,Scotland,own,middling,Lab,Lab,11100,13,18.3,68.7
Male,60-75,straight,35_50,5,London,rent,high,Lab,Lab,800,5.3,10.2,84.5
Male,18-29,straight,35_50,5,London,rent,middling,Lab,Lab,11100,4.5,3,92.5
Male,45-60,straight,25_35,3,South,mortgage,low,Con,Con,3600,38.9,42.9,18.1
Male,30-44,gay,50+,4,London,mortgage,middling,Con,Oth,2300,10,6.3,83.7
Male,60-75,straight,15_25,3,South,rent,low,Oth,Oth,900,20.3,20.3,59.4
Female,45-60,straight,15_25,3,Wales,mortgage,low,Lab,Lab,800,21.6,14.8,63.6
Female,30-44,straight,35_50,3,South,mortgage,middling,Lab,Oth,800,13.5,6.6,79.9
Female,75+,straight,15_25,4,Wales,rent,middling,Con,Con,1200,48,32.9,19.2
Male,45-60,straight,35_50,3,South,own,low,Con,Con,14400,40.8,37.9,21.3
Female,30-44,straight,35_50,4,Scotland,rent,middling,Lab,Lab,1000,8.5,5.8,85.7
Male,45-60,straight,50+,4,South,mortgage,middling,Lab,Oth,2300,8.8,7.5,83.7
Male,18-29,straight,35_50,2,London,mortgage,middling,Lab,Lab,3100,10.5,7.2,82.3
Female,45-60,straight,35_50,2,North,own,middling,DNV,Con,1000,45.3,39.5,15.3
Female,30-44,straight,25_35,3,South,mortgage,middling,Lab,Lab,10800,12.9,9.1,78
Male,30-44,straight,35_50,5,Scotland,mortgage,middling,Oth,Lab,1800,4.7,4.7,90.7
Male,30-44,straight,50+,4,Wales,mortgage,high,Con,Con,3900,26.2,32.6,41.2
Male,60-75,straight,15_25,3,Scotland,rent,high,Con,Con,1800,23.2,60.9,15.9
Female,30-44,gay,25_35,3,Midlands,rent,middling,Oth,Con,1300,38.6,35.3,26.1
Male,60-75,straight,25_35,3,North,own,high,Lab,Lab,16700,11.3,23.5,65.3
Male,30-44,straight,35_50,2,North,mortgage,high,Oth,DNV,700,16.4,35.1,48.5
Female,60-75,straight,15_25,3,Midlands,own,low,UKIP,Lab,5000,33.3,48.7,18
Female,45-60,straight,35_50,3,South,mortgage,middling,Con,Con,35700,43.1,33.4,23.5
Female,60-75,straight,25_35,3,Midlands,own,low,DNV,Lab,800,30,16.8,53.1
Female,60-75,straight,25_35,3,South,own,low,DNV,Con,6700,50.1,33.5,16.4
Female,45-60,straight,35_50,2,North,mortgage,low,Lab,Lab,4200,23.4,16,60.6
Male,18-29,straight,25_35,3,London,rent,low,DNV,DNV,10300,26.9,19.1,53.9
Female,30-44,straight,35_50,4,Wales,own,low,Oth,Oth,900,14.7,4.6,80.7
Female,60-75,straight,35_50,5,North,own,high,Lab,Lab,9800,7.5,8.4,84.1
Female,45-60,straight,35_50,4,South,mortgage,high,Lab,Lab,7500,7.8,9.6,82.7
Male,60-75,straight,50+,3,London,own,high,UKIP,Con,1400,19.2,74.8,6
Female,18-29,straight,35_50,5,South,rent,high,Lab,Lab,1300,4,2.9,93.1
Male,60-75,straight,35_50,3,Midlands,mortgage,low,Con,Con,1800,44.7,39.6,15.6
Male,60-75,straight,15_25,3,Midlands,own,middling,Lab,Lab,16900,16.6,21.7,61.7
Male,60-75,straight,35_50,4,North,mortgage,high,Lab,Lab,3200,8.4,16.3,75.3
Male,45-60,straight,50+,3,London,own,high,Oth,Con,300,23.1,41,36
Female,60-75,straight,5_15,1,Midlands,own,low,Con,Con,8400,51.2,42.1,6.7
Female,18-29,straight,25_35,3,London,rent,high,Lab,Lab,900,8.5,6.6,84.9
Male,45-60,straight,25_35,2,Midlands,rent,middling,Con,Lab,2600,21.3,29.2,49.5
Female,60-75,straight,15_25,3,South,own,middling,Con,Con,103800,44.9,37.9,17.2
Female,60-75,straight,15_25,4,South,own,high,UKIP,Oth,300,20.5,48.5,31
Female,45-60,straight,25_35,3,North,rent,middling,Lab,Lab,2600,17.5,17.2,65.3
Female,60-75,gay,15_25,3,North,own,middling,Lab,Lab,6600,19.1,19.2,61.6
Female,45-60,straight,35_50,3,Midlands,rent,low,Lab,Lab,2500,20.9,13.4,65.7
Male,45-60,gay,5_15,5,Midlands,mortgage,middling,DNV,Lab,1400,11.6,20.1,68.3
Female,45-60,straight,15_25,4,Midlands,rent,high,Lab,Lab,1600,11.1,17.1,71.8
Male,18-29,straight,35_50,4,London,rent,middling,Con,Con,3600,32.8,21.8,45.3
Female,60-75,straight,15_25,3,Midlands,own,high,Lab,Con,1700,32.6,47.2,20.2
Male,30-44,straight,25_35,4,South,rent,middling,Con,Con,6800,31.6,37.4,31
Male,45-60,straight,50+,3,London,mortgage,middling,Con,Con,11900,35.6,36.9,27.6
Female,30-44,straight,15_25,3,Midlands,mortgage,middling,Con,Con,5700,46.6,33.1,20.3
Female,60-75,straight,25_35,4,London,own,high,Con,Con,3400,34,37.4,28.6
Female,45-60,gay,35_50,4,South,own,high,Oth,Oth,500,8.6,8.6,82.8
Male,45-60,gay,50+,4,London,own,high,Lab,Lab,500,5.4,9.5,85.2
Male,45-60,straight,5_15,2,North,rent,low,DNV,Lab,6100,24.3,39.2,36.5
Male,30-44,straight,50+,3,South,mortgage,middling,Oth,Lab,5400,9,8.2,82.8
Male,30-44,straight,50+,3,Midlands,mortgage,middling,Con,Con,6200,38.7,32.4,28.9
Female,60-75,straight,15_25,4,Midlands,own,low,DNV,Lab,4000,25.9,15.5,58.6
Male,60-75,straight,35_50,5,Midlands,rent,high,Con,Con,400,24,45.8,30.2
Female,45-60,straight,25_35,3,South,own,low,Con,Con,14700,49.5,31.4,19
Male,45-60,straight,15_25,3,North,rent,middling,Oth,Lab,1700,14.6,25.7,59.6
Male,60-75,straight,15_25,4,South,own,high,Oth,Oth,3000,9.4,15.8,74.8
Male,45-60,straight,50+,3,South,mortgage,low,Con,Con,5700,40.4,35.8,23.8
Male,30-44,straight,25_35,3,South,rent,low,Lab,Lab,4000,13.6,13.5,72.9
Female,60-75,straight,15_25,3,North,own,low,DNV,Con,8500,50.1,37.8,12
Female,60-75,straight,15_25,3,North,mortgage,low,DNV,Con,3600,48.9,39.5,11.6
Female,45-60,straight,25_35,5,South,rent,middling,Con,Con,1300,34.6,31.3,34.1
Female,45-60,straight,15_25,4,Midlands,mortgage,middling,Con,Con,2300,42.5,36.3,21.3
Female,30-44,straight,50+,3,Midlands,mortgage,middling,DNV,Lab,1500,17.7,9.1,73.2
Male,18-29,straight,50+,5,North,mortgage,middling,Lab,Lab,1600,4.6,2.8,92.6
Female,45-60,straight,35_50,1,Midlands,mortgage,middling,Con,Con,1300,47.1,40.3,12.6
Male,30-44,straight,35_50,4,North,mortgage,middling,Lab,Lab,34100,8.8,8.9,82.3
Female,60-75,straight,35_50,4,South,own,middling,DNV,Con,4300,41.7,30.7,27.6
Male,30-44,gay,35_50,5,South,rent,high,DNV,Con,900,18.1,39.2,42.6
Male,45-60,straight,25_35,4,North,own,high,Con,Con,2200,24.9,51.2,23.9
Female,45-60,straight,15_25,4,Midlands,rent,middling,DNV,DNV,1900,28.7,31.6,39.7
Male,45-60,straight,35_50,4,North,rent,middling,Con,Con,2100,32.6,44.1,23.3
Female,60-75,straight,25_35,3,North,mortgage,low,DNV,Con,6300,50.2,36.7,13.2
Female,60-75,straight,25_35,4,South,own,middling,Con,Con,36300,42.8,31.6,25.6
Male,60-75,straight,25_35,3,Wales,own,middling,DNV,Con,2400,37.5,45.9,16.6
Female,60-75,straight,5_15,4,North,own,low,Oth,Oth,1100,23.6,13.5,62.9
Female,60-75,straight,25_35,5,Scotland,own,high,Oth,Oth,4200,7,6.6,86.4
Female,30-44,straight,25_35,3,Scotland,mortgage,middling,Lab,Oth,900,13.2,7.2,79.6
Male,45-60,straight,25_35,4,London,own,middling,Con,Lab,2200,12.6,13.1,74.4
Female,60-75,straight,15_25,4,South,rent,middling,Oth,Con,1400,35.5,38.7,25.8
Male,45-60,straight,15_25,4,North,own,high,Lab,Lab,2100,8.3,19.4,72.3
Male,60-75,straight,25_35,2,Wales,own,middling,Con,Con,2700,39.6,47,13.4
Male,18-29,straight,25_35,5,South,rent,middling,Oth,Oth,3200,5.7,3.5,90.8
Female,18-29,straight,50+,3,North,mortgage,middling,DNV,Lab,900,15,5.6,79.3
Female,45-60,straight,35_50,3,South,own,low,Con,Con,9900,50,28.7,21.3
Female,45-60,straight,5_15,3,North,rent,low,Lab,Lab,6900,23.1,22.1,54.8
Male,45-60,straight,25_35,3,Scotland,mortgage,middling,Oth,Oth,4300,12.5,13.8,73.7
Male,30-44,straight,50+,4,South,mortgage,middling,Con,Con,44500,31.4,27.1,41.5
Male,45-60,straight,50+,3,South,mortgage,high,Con,Con,37000,25.9,46.7,27.4
Male,60-75,straight,15_25,4,South,rent,middling,Lab,Lab,2200,11.4,18.2,70.4
Male,60-75,straight,35_50,1,Midlands,own,high,Lab,Con,400,26,59.2,14.8
Female,18-29,straight,5_15,3,Scotland,rent,low,DNV,Lab,7100,20.1,9.9,69.9
Female,30-44,gay,25_35,4,North,rent,middling,Lab,Lab,3300,11.6,10.1,78.3
Female,30-44,straight,15_25,3,Scotland,mortgage,low,DNV,DNV,3000,32,22.9,45.2
Male,45-60,gay,50+,5,Scotland,mortgage,high,Oth,Lab,400,3.4,7,89.5
Male,30-44,gay,50+,4,Midlands,mortgage,middling,Lab,Lab,1500,7.8,7.3,84.8
Male,45-60,straight,25_35,2,South,own,high,Lab,Lab,1500,10.4,23.8,65.9
Female,45-60,straight,50+,5,South,own,high,DNV,Con,600,25.3,27.8,46.9
Male,60-75,straight,15_25,3,Midlands,own,high,Lab,Lab,9000,12.1,25.5,62.4
Male,45-60,straight,35_50,2,Midlands,mortgage,middling,DNV,Con,1600,35.9,49.8,14.4
Male,30-44,straight,15_25,3,London,rent,low,Lab,Lab,15400,14.4,14.7,70.9
Male,30-44,straight,15_25,5,London,mortgage,middling,Lab,Lab,2700,6,6.8,87.2
Female,30-44,straight,15_25,4,North,rent,low,Lab,Lab,11100,16.1,10.7,73.2
Female,60-75,straight,15_25,2,Midlands,own,low,Lab,Lab,6700,28.8,19.7,51.5
Male,18-29,straight,15_25,4,London,rent,middling,Lab,Lab,10000,7.7,6.4,86
Female,45-60,straight,25_35,4,Midlands,mortgage,low,UKIP,Con,4500,36.5,58.3,5.2
Female,30-44,straight,50+,5,London,mortgage,high,Lab,Lab,9500,4,3.3,92.7
Female,60-75,straight,25_35,3,North,own,high,Con,Con,24200,36.6,46,17.4
Male,30-44,gay,15_25,3,Scotland,mortgage,middling,Lab,Lab,1400,9.7,14.1,76.2
Male,60-75,straight,50+,3,South,mortgage,middling,Con,Con,15300,36.8,39.2,24
Female,60-75,straight,15_25,2,South,own,low,UKIP,Con,4200,33.9,63.5,2.6
Female,60-75,gay,15_25,3,North,own,middling,DNV,Con,1500,41.5,45.1,13.4
Male,45-60,straight,50+,4,Wales,mortgage,middling,UKIP,Con,1300,26.2,65.7,8.1
Male,45-60,straight,25_35,2,North,own,middling,Oth,Con,1500,31.7,51.2,17.1
Male,45-60,straight,25_35,3,North,mortgage,middling,Oth,Lab,1400,13.8,20,66.1
Male,30-44,straight,5_15,4,Midlands,rent,high,DNV,Oth,300,12.6,20.9,66.5
Female,30-44,straight,50+,4,South,mortgage,middling,Con,Con,31700,38.2,20.4,41.4
Female,60-75,straight,35_50,4,London,own,middling,Con,Con,2900,43.7,26.9,29.4
Male,30-44,straight,50+,2,South,mortgage,middling,Oth,Oth,2100,12.6,9.5,77.8
Male,60-75,straight,25_35,3,Midlands,own,high,UKIP,Lab,700,15,65.5,19.5
Male,18-29,straight,50+,4,London,mortgage,middling,Lab,Lab,2200,5.5,3,91.5
Female,75+,straight,15_25,5,London,own,high,Lab,Lab,800,7.9,7.9,84.2
Female,60-75,straight,5_15,1,South,rent,middling,UKIP,Con,3500,22.3,76.2,1.5
Female,60-75,straight,15_25,3,North,own,middling,Oth,Oth,9900,22.9,15.4,61.7
Male,60-75,straight,50+,3,London,mortgage,high,Con,Con,3700,28.5,45.4,26.1
Female,60-75,straight,15_25,2,Scotland,own,middling,UKIP,Lab,1500,25.7,54.9,19.4
Female,75+,straight,25_35,2,Midlands,own,middling,Lab,Lab,2200,25.1,15.7,59.1
Male,60-75,straight,5_15,1,South,rent,low,Lab,Con,5700,31.3,60,8.7
Male,45-60,straight,15_25,3,South,rent,low,DNV,DNV,9400,26.8,42.1,31.2
Female,60-75,straight,15_25,3,North,own,middling,Oth,Con,6000,41.2,40.3,18.5
Female,30-44,straight,5_15,3,South,rent,middling,Oth,Lab,2700,15.3,14.5,70.1
Male,45-60,gay,15_25,2,North,rent,middling,UKIP,Con,3200,15.2,83.2,1.7
Female,45-60,straight,35_50,3,North,own,middling,Oth,Oth,2000,18.4,10.6,71
Male,45-60,straight,35_50,4,South,mortgage,middling,Con,Con,17300,31.7,38.4,29.8
Male,18-29,straight,35_50,5,North,own,high,Lab,Lab,700,3.7,3.8,92.4
Male,60-75,straight,25_35,2,Midlands,own,middling,DNV,Con,1600,37.3,51.1,11.6
Male,60-75,straight,25_35,3,North,own,low,Con,Con,5200,43,43,14
Male,30-44,straight,50+,4,South,mortgage,high,UKIP,Con,2700,19,69.3,11.7
Female,18-29,gay,50+,4,South,mortgage,low,DNV,Con,900,41,14.6,44.4
Male,45-60,straight,35_50,4,South,own,middling,Con,Con,11100,32.4,36.7,30.8
Male,45-60,gay,35_50,3,South,rent,middling,UKIP,Con,1900,18.8,77.1,4.1
Female,45-60,straight,50+,3,North,own,high,Con,Con,1100,36.2,38.2,25.6
Female,45-60,straight,15_25,4,London,rent,middling,Con,Con,1700,39.5,36.8,23.7
Female,45-60,straight,15_25,2,North,own,middling,Oth,Oth,500,24.1,18.2,57.7
Female,45-60,straight,5_15,4,North,rent,middling,DNV,Con,2500,37.2,46.7,16.1
