new_id,old_id
10613,1-X3556
10618,1-X3566
10629,1-X3598
10630,1-X3605
10635,1-X3620
10636,1-X3621
10637,1-X3623
10658,1-X3671
10661,1-X3679
10666,1-X3691
10667,1-X3692
10677,1-X3719
10678,1-X3720
10681,1-X3728
10686,1-X3742
10687,1-X3745
10688,1-X3747
10689,1-X3749
10701,1-X3780
10703,1-X3784
10705,1-X3788
10707,1-X3795
10708,1-X3797
10709,1-X3798
10710,1-X3800
10711,1-X3802
10723,1-X3833
10724,1-X3834
10725,1-X3835
10726,1-X3839
10727,1-X3841
10728,1-X3844
10729,1-X3845
10730,1-X3847
10731,1-X3848
10754,1-X3922
10755,1-X3923
10756,1-X3926
10761,1-X3939
10762,1-X3945
10763,1-X3947
10764,1-X3949
10767,1-X3959
10768,1-X3961
10769,1-X3963
10775,1-X3975
10777,1-X3979
10778,1-X3983
10781,1-X3993
10788,1-X4008
10789,1-X4010
10790,1-X4012
10791,1-X4014
10794,1-X4021
10795,1-X4023
10807,1-X4051
10809,1-X4055
10811,1-X4061
10812,1-X4063
10814,1-X4068
10829,1-X4112
10830,1-X4114
10839,1-X4129
10846,1-X4145
10857,1-X4165
10875,1-X4207
10876,1-X4209
10879,1-X4219
10887,1-X4237
10888,1-X4241
10892,1-X4249
10895,1-X4256
10897,1-X4260
10900,1-X4266
10905,1-X4279
10910,1-X4290
10911,1-X4292
10918,1-X4308
10924,1-X4318
10935,1-X4340
10936,1-X4342
10937,1-X4344
10939,1-X4348
10940,1-X4350
10943,1-X4359
10944,1-X4367
10950,1-X4384
10951,1-X4386
10952,1-X4388
10953,1-X4390
10956,1-X4399
10959,1-X4410
10961,1-X4413
10963,1-X4418
10964,1-X4420
10965,1-X4421
10966,1-X4423
10967,1-X4424
10968,1-X4427
10969,1-X4431
10970,1-X4433
10971,1-X4435
10973,1-X4441
10974,1-X4442
10976,1-X4446
10977,1-X4449
11007,1-X4492
11008,1-X4494
11009,1-X4495
11010,1-X4496
11011,1-X4498
11012,1-X4500
11013,1-X4502
11014,1-X4504
11017,1-X4509
11018,1-X4510
11019,1-X4512
11020,1-X4514
11021,1-X4515
11022,1-X4517
11023,1-X4519
11024,1-X4521
11059,1-X4588
11061,1-X4590
11062,1-X4592
11063,1-X4593
11064,1-X4594
11065,1-X4595
11066,1-X4597
11067,1-X4598
11068,1-X4601
11069,1-X4602
11070,1-X4603
11071,1-X4605
11075,1-X4622
11076,1-X4624
11077,1-X4625
11083,1-X4635
11084,1-X4637
11085,1-X4639
11086,1-X4641
11087,1-X4643
11095,1-X4658
11103,1-X4673
11108,1-X4688
11110,1-X4692
11111,1-X4694
11112,1-X4696
11113,1-X4698
11114,1-X4700
11115,1-X4702
11116,1-X4704
11117,1-X4705
11126,1-X4807
11128,1-X4811
11141,1-X4838
11142,1-X4840
11145,1-X4845
11146,1-X4847
11147,1-X4849
11148,1-X4850
11149,1-X4852
11150,1-X4859
11151,1-X4860
11152,1-X4862
11160,1-X4889
11163,1-X4898
11164,1-X4902
11175,1-X4947
11177,1-X4956
11184,1-X5029
11187,1-X5035
11188,1-X5037
11189,1-X5039
11192,1-X5045
11193,1-X5047
11194,1-X5051
11195,1-X5055
11196,1-X5057
11197,1-X5059
11202,1-X5072
11203,1-X5074
11208,1-X5082
11217,1-X5101
11222,1-X5121
11246,1-X1799
11248,1-X5126
11249,1-X3289
11250,1-X3645
11251,1-X3938
11252,1-X3941
11253,1-X4488
11274,1-X899
11275,1-X5135
11293,1-X1072
11299,1-X5138
11300,1-X5140
11301,1-X5143
11302,1-X5145
11303,1-X5147
11304,1-X5149
11305,1-X5150
11306,1-X5152
11307,1-X5154
11309,1-X5156
11312,1-X5162
11316,1-X5168
11320,1-X5175
11321,1-X5176
11322,1-X5177
11323,1-X5178
11335,1-X5191
11336,1-X5192
11338,1-X5196
11339,1-X5197
11342,272
11344,269
11345,270
11346,271
11347,274
11349,273
11350,275
11358,1-X2695
11362,1-X5208
11363,1-X5210
11365,1-X5212
11366,1-X5215
11368,1-X5218
11421,1-X53
11422,1-X1254
11424,1-X2552
11425,1-X2785
11442,1-X5132
11443,1-X5134
11445,1-X5246
11447,268
11466,1-X5264
11467,1-X5265
11469,1-X5267
11472,1-X5274
11473,1-X5275
11474,11474
11475,277
11487,278
11511,1-X396
11512,1-X1185
11521,1-X5273
11527,1-X5285
11528,1-X5287
11529,1-X5289
11530,1-X5291
11544,1-X5316
11545,1-X5318
11546,1-X5319
11547,1-X5320
11548,1-X5322
11549,1-X5324
11550,1-X5326
11562,1-X5348
11563,1-X5349
11564,1-X5350
11565,1-X5352
11597,1-X5411
11598,1-X5412
11604,1-X5422
11613,1-X5437
11614,1-X5438
11617,1-X5444
11618,1-X5446
11635,1-X5467
11636,1-X5468
11637,1-X5470
11647,11647
11663,11663
11664,11664
11668,11668
11737,11737
11738,11738
11742,11742
11743,11743
11766,11766
11827,11827
11848,11848
11864,11864
11884,19
11892,11892
11896,11896
11938,11938
11947,11947
11948,11948
11950,11950
11966,11966
13042,284
13044,13044
13048,13048
13049,13049
13060,13060
13062,13062
13147,13147
13169,13169
13219,280
13249,13249
13261,13261
13306,283
13312,13312
13319,13319
13336,13336
13349,279
13356,XXX347
13446,13446
13465,13465
13480,13480
13488,13488
13561,13561
13588,285
13604,286
13611,287
13638,289
13639,290
13640,291
13644,13644
13645,293
13646,294
13647,13647
13648,295
13653,296
13674,13674
13675,297
13694,298
13721,13721
13795,13795
13809,13809
13834,13834
13839,13839
13840,13840
13848,13848
13871,13871
13875,13875
13886,13886
13902,13902
13936,13936
13941,13941
13246,281
13247,282
13637,288
13641,13641
