ID,Year,WarNo,WarName,YrBeg1,bdeadlow,bdeadhigh,bdeadbest,yrlydata,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,WarType,NonState,Winner,Interven,MinDur,MaxDur,StDeaths,ToDeaths,CenSubSy,MajPowIn,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
4091920,1920,409,Franco-Syrian,1920,5000,5000,5000,0,-999,-999,1920,-999,-999,-999,-999,-999,-999,-999,-999,3,Syrians,1,0,1,366,5000,-999,0,1,0,0,0,1,0,0,2,3
4101920,1920,410,Iraqi-British,1920,4438,4438,4438,0,6,-999,1921,-999,-999,-999,-999,-999,-999,-999,-999,2,Arabs-Iraq,1,0,186,579,2000,-999,0,1,0,0,0,1,0,0,2,3
4101921,1921,410,Iraqi-British,1920,4438,4438,4438,0,6,-999,1921,-999,-999,-999,-999,-999,-999,-999,-999,2,Arabs-Iraq,1,0,186,579,2000,-999,0,1,0,0,0,1,0,0,2,3
4121920,1920,412,Italo-Libyan,1920,3076,3076,3076,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121921,1921,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121922,1922,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121923,1923,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121924,1924,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121925,1925,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121926,1926,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121927,1927,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121928,1928,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121929,1929,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121930,1930,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121931,1931,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4121932,1932,412,Italo-Libyan,1920,3077,3077,3077,0,6,-999,1932,7,-999,-999,-999,-999,-999,-999,-999,2,Libya,1,0,4385,4444,5000,40000,0,0,0,0,0,1,0,0,2,3
4131921,1921,413,Riff Rebellion,1921,15488,15488,15488,1,7,18,1926,5,27,-999,-999,-999,-999,-999,-999,2,Riffs,1,1,1775,1775,29000,40000,0,1,0,0,0,1,0,0,0,3
4131922,1922,413,Riff Rebellion,1921,975,975,975,1,7,18,1926,5,27,-999,-999,-999,-999,-999,-999,2,Riffs,1,1,1775,1775,29000,40000,0,1,0,0,0,1,0,0,0,3
4131923,1923,413,Riff Rebellion,1921,658,658,658,1,7,18,1926,5,27,-999,-999,-999,-999,-999,-999,2,Riffs,1,1,1775,1775,29000,40000,0,1,0,0,0,1,0,0,0,3
4131924,1924,413,Riff Rebellion,1921,5957,5957,5957,1,7,18,1926,5,27,-999,-999,-999,-999,-999,-999,2,Riffs,1,1,1775,1775,29000,40000,0,1,0,0,0,1,0,0,0,3
4131925,1925,413,Riff Rebellion,1921,819,819,819,1,7,18,1926,5,27,-999,-999,-999,-999,-999,-999,2,Riffs,1,1,1775,1775,29000,40000,0,1,0,0,0,1,0,0,0,3
4131926,1926,413,Riff Rebellion,1921,623,623,623,1,7,18,1926,5,27,-999,-999,-999,-999,-999,-999,2,Riffs,1,1,1775,1775,29000,40000,0,1,0,0,0,1,0,0,0,3
4141921,1921,414,Moplah Rebellion,1921,1337,1687,1412,0,10,-999,1922,2,-999,-999,-999,-999,-999,-999,-999,2,Muslim Moplah,1,0,94,151,137,2474,0,1,0,0,0,0,1,0,4,3
4141922,1922,414,Moplah Rebellion,1921,1337,1687,1412,0,10,-999,1922,2,-999,-999,-999,-999,-999,-999,-999,2,Muslim Moplah,1,0,94,151,137,2474,0,1,0,0,0,0,1,0,4,3
4161925,1925,416,Franco-Druze,1925,3500,3500,3500,1,7,18,1927,6,1,-999,-999,-999,-999,-999,-999,2,Druze,1,0,684,684,4000,8000,0,1,0,0,0,1,0,0,0,3
4161926,1926,416,Franco-Druze,1925,3500,3500,3500,1,7,18,1927,6,1,-999,-999,-999,-999,-999,-999,2,Druze,1,0,684,684,4000,8000,0,1,0,0,0,1,0,0,0,3
4161927,1927,416,Franco-Druze,1925,1000,1000,1000,1,7,18,1927,6,1,-999,-999,-999,-999,-999,-999,2,Druze,1,0,684,684,4000,8000,0,1,0,0,0,1,0,0,0,3
4171930,1930,417,Saya San's Rebellion,1930,356,1023,1023,0,12,-999,1932,6,-999,-999,-999,-999,-999,-999,-999,2,Peasant Rebels,1,0,519,578,10000,-999,0,1,0,0,0,0,1,0,4,3
4171931,1931,417,Saya San's Rebellion,1930,357,1023,1023,0,12,-999,1932,6,-999,-999,-999,-999,-999,-999,-999,2,Peasant Rebels,1,0,519,578,10000,-999,0,1,0,0,0,0,1,0,4,3
4171932,1932,417,Saya San's Rebellion,1930,357,1024,1024,0,12,-999,1932,6,-999,-999,-999,-999,-999,-999,-999,2,Peasant Rebels,1,0,519,578,10000,-999,0,1,0,0,0,0,1,0,4,3
4181936,1936,418,British-Palestinian,1936,712,1426,712,0,4,20,1939,5,17,-999,-999,-999,-999,-999,-999,2,Palestinians,1,0,1123,1123,2849,-999,0,1,0,0,0,1,0,0,4,3
4181937,1937,418,British-Palestinian,1936,712,1426,712,0,4,20,1939,5,17,-999,-999,-999,-999,-999,-999,2,Palestinians,1,0,1123,1123,2849,-999,0,1,0,0,0,1,0,0,4,3
4181938,1938,418,British-Palestinian,1936,712,1426,712,0,4,20,1939,5,17,-999,-999,-999,-999,-999,-999,2,Palestinians,1,0,1123,1123,2849,-999,0,1,0,0,0,1,0,0,4,3
4181939,1939,418,British-Palestinian,1936,713,1427,713,0,4,20,1939,5,17,-999,-999,-999,-999,-999,-999,2,Palestinians,1,0,1123,1123,2849,-999,0,1,0,0,0,1,0,0,4,3
4201945,1945,420,Indonesian,1945,2500,2500,2500,0,11,10,1946,10,15,-999,-999,-999,-999,-999,-999,2,Indonesia,2,1,340,340,1400,5000,0,1,0,0,0,0,1,0,0,3
4201946,1946,420,Indonesian,1945,2500,2500,2500,0,11,10,1946,10,15,-999,-999,-999,-999,-999,-999,2,Indonesia,2,1,340,340,1400,5000,0,1,0,0,0,0,1,0,0,3
4211945,1945,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211946,1946,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211947,1947,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211948,1948,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211949,1949,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211950,1950,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211951,1951,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211952,1952,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211953,1953,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4211954,1954,421,Franco-Indochinese of 1945,1945,36500,36500,36500,0,12,1,1954,6,1,-999,-999,-999,-999,-999,-999,2,Vietminh,2,0,3105,3105,300000,600000,0,1,0,0,0,0,1,0,0,3
4221947,1947,422,Franco-Madagascan of 1947,1947,3476,6090,3476,0,3,29,1948,12,1,-999,-999,-999,-999,-999,-999,2,Madagascar,1,0,614,614,1800,5000,0,1,0,0,1,0,0,0,0,3
4221948,1948,422,Franco-Madagascan of 1947,1947,3476,6090,3476,0,3,29,1948,12,1,-999,-999,-999,-999,-999,-999,2,Madagascar,1,0,614,614,1800,5000,0,1,0,0,1,0,0,0,0,3
4241948,1948,424,Malayan Rebellion,1948,838,838,838,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241949,1949,424,Malayan Rebellion,1948,1182,1182,1182,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241950,1950,424,Malayan Rebellion,1948,1687,1687,1687,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241951,1951,424,Malayan Rebellion,1948,2116,2116,2116,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241952,1952,424,Malayan Rebellion,1948,1761,1761,1761,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241953,1953,424,Malayan Rebellion,1948,1136,1136,1136,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241954,1954,424,Malayan Rebellion,1948,907,907,907,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241955,1955,424,Malayan Rebellion,1948,561,561,561,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241956,1956,424,Malayan Rebellion,1948,384,384,384,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4241957,1957,424,Malayan Rebellion,1948,273,273,273,1,6,18,1957,8,31,-999,-999,-999,-999,-999,-999,2,Malayan Communists,1,0,3362,3362,13000,-999,0,1,0,0,0,0,1,0,3,3
4251948,1948,425,Indo-Hyderabad,1948,2360,2360,2360,1,9,13,1948,9,17,-999,-999,-999,-999,-999,-999,3,Hyderabad,1,0,5,5,1000,2000,0,0,0,0,0,0,1,0,1,3
4261950,1950,426,Sino-Tibetan of 1950,1950,1000,2500,2500,0,2,-999,1951,4,-999,-999,-999,-999,-999,-999,-999,3,Tibet,1,0,398,454,1000,-999,0,1,0,0,0,0,1,0,2,3
4261951,1951,426,Sino-Tibetan of 1950,1950,1000,2500,2500,0,2,-999,1951,4,-999,-999,-999,-999,-999,-999,-999,3,Tibet,1,0,398,454,1000,-999,0,1,0,0,0,0,1,0,2,3
4281952,1952,428,Franco-Tunisian of 1952,1952,238,1000,666,1,-999,-999,1954,-999,-999,-999,-999,-999,-999,-999,-999,2,Tunisia,2,0,367,1096,3000,-999,0,1,0,0,0,1,0,0,2,3
4281953,1953,428,Franco-Tunisian of 1952,1952,238,1000,667,1,-999,-999,1954,-999,-999,-999,-999,-999,-999,-999,-999,2,Tunisia,2,0,367,1096,3000,-999,0,1,0,0,0,1,0,0,2,3
4281954,1954,428,Franco-Tunisian of 1952,1952,239,1000,667,1,-999,-999,1954,-999,-999,-999,-999,-999,-999,-999,-999,2,Tunisia,2,0,367,1096,3000,-999,0,1,0,0,0,1,0,0,2,3
4291952,1952,429,British-Mau Mau,1952,999,999,999,1,10,20,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Kenya (Mau Mau),2,0,1169,1534,11000,-999,0,1,0,0,1,0,0,0,2,3
4291953,1953,429,British-Mau Mau,1952,2989,2989,2989,1,10,20,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Kenya (Mau Mau),2,0,1169,1534,11000,-999,0,1,0,0,1,0,0,0,2,3
4291954,1954,429,British-Mau Mau,1952,2989,2989,2989,1,10,20,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Kenya (Mau Mau),2,0,1169,1534,11000,-999,0,1,0,0,1,0,0,0,2,3
4291955,1955,429,British-Mau Mau,1952,2989,2989,2989,1,10,20,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Kenya (Mau Mau),2,0,1169,1534,11000,-999,0,1,0,0,1,0,0,0,2,3
4291956,1956,429,British-Mau Mau,1952,2989,2989,2989,1,10,20,1956,-999,-999,-999,-999,-999,-999,-999,-999,2,Kenya (Mau Mau),2,0,1169,1534,11000,-999,0,1,0,0,1,0,0,0,2,3
