warno,statenum,stateabb,warname,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,duration,deaths,outcome,initiate,sysstat,prwarpop,prwararm,westhem,europe,africa,mideast,asia,oceania,version,censubsy,subsysea,majpowin,majpowea,edition
106,220,FRN,World War I,1305735,1305735,1305735,8752635,8752635,8752635,1914,8,3,1918,11,11,-999,-999,-999,-999,-999,-999,1562,1385000,1,0,3,39581,789,0,1,1,1,0,0,3,1,1,1,1,0
106,211,BEL,World War I,20465,20465,20465,8752635,8752635,8752635,1914,8,4,1918,11,11,-999,-999,-999,-999,-999,-999,1561,13716,1,0,2,7546,115,0,1,0,0,0,0,3,1,1,1,1,0
106,200,UKG,World War I,939004,939004,939004,8752635,8752635,8752635,1914,8,5,1918,11,11,-999,-999,-999,-999,-999,-999,1560,908371,1,0,3,45801,532,0,1,1,1,1,0,3,1,1,1,1,0
106,2,USA,World War I,50585,50585,50585,8752635,8752635,8752635,1917,4,17,1918,11,11,-999,-999,-999,-999,-999,-999,574,116516,1,0,3,102268,644,0,1,0,0,0,0,3,1,1,1,1,0
106,300,AUH,World War I,1022500,1022500,1022500,8752635,8752635,8752635,1914,7,29,1918,11,3,-999,-999,-999,-999,-999,-999,1559,1200000,2,1,3,52580,839,0,1,0,0,0,0,3,1,1,1,1,0
106,360,RUM,World War I,236333,236333,236333,8752635,8752635,8752635,1916,8,27,1917,12,9,-999,-999,-999,-999,-999,-999,470,335706,1,0,2,8845,211,0,1,0,0,0,0,3,1,1,1,1,0
109,364,USR,Russo-Polish,23000,23000,23000,40278,40278,40278,1919,2,14,1920,10,18,-999,-999,-999,-999,-999,-999,613,60000,2,1,2,124007,1550,0,1,0,0,0,0,3,1,1,0,0,1
109,290,POL,Russo-Polish,17278,17278,17278,40278,40278,40278,1919,2,14,1920,10,18,-999,-999,-999,-999,-999,-999,613,40000,1,0,2,25834,300,0,1,0,0,0,0,3,1,1,0,0,1
112,360,RUM,Hungarian-Allies,1800,1800,1800,6670,6670,6670,1919,4,16,1919,8,4,-999,-999,-999,-999,-999,-999,111,3000,1,1,2,9722,292,0,1,0,0,0,0,3,1,1,0,0,0
112,310,HUN,Hungarian-Allies,3670,3670,3670,6670,6670,6670,1919,4,16,1919,8,4,-999,-999,-999,-999,-999,-999,111,6000,2,0,2,7874,27,0,1,0,0,0,0,3,1,1,0,0,0
112,315,CZE,Hungarian-Allies,1200,1200,1200,6670,6670,6670,1919,4,16,1919,8,4,-999,-999,-999,-999,-999,-999,111,2000,1,1,2,13398,150,0,1,0,0,0,0,3,1,1,0,0,0
115,350,GRC,Greco-Turkish,19362,19362,19362,32362,32362,32362,1919,5,5,1922,10,11,-999,-999,-999,-999,-999,-999,1256,30000,2,1,2,5176,58,0,1,0,1,0,0,3,1,1,0,0,0
115,640,TUR,Greco-Turkish,13000,13000,13000,32362,32362,32362,1919,5,5,1922,10,11,-999,-999,-999,-999,-999,-999,1256,20000,1,0,2,12847,129,0,1,0,1,0,0,3,1,1,0,0,0
116,220,FRN,Franco-Turkish,125,5000,125,1000,40000,1000,1919,11,1,1921,10,20,-999,-999,-999,-999,-999,-999,720,5000,3,1,3,38700,2364,0,0,0,1,0,0,3,1,1,1,0,3
116,640,TUR,Franco-Turkish,875,35000,875,1000,40000,1000,1919,11,1,1921,10,20,-999,-999,-999,-999,-999,-999,720,35000,4,0,2,12847,129,0,0,0,1,0,0,3,1,1,1,0,3
117,290,POL,Lithuanian-Polish,500,500,500,1000,1000,1000,1920,7,15,1920,12,1,-999,-999,-999,-999,-999,-999,140,500,1,1,1,25834,300,0,1,0,0,0,0,3,1,1,0,0,3
117,368,LIT,Lithuanian-Polish,500,500,500,1000,1000,1000,1920,7,15,1920,12,1,-999,-999,-999,-999,-999,-999,140,500,2,0,1,2059,50,0,1,0,0,0,0,3,1,1,0,0,3
118,710,CHN,Sino-Soviet,1035,3000,3200,2017,1178,2189,1929,8,17,1929,12,3,-999,-999,-999,-999,-999,-999,109,3000,2,0,1,478830,1700,0,0,0,0,1,0,3,0,0,1,0,1
118,364,USR,Sino-Soviet,143,200,3200,172,1178,2189,1929,8,17,1929,12,3,-999,-999,-999,-999,-999,-999,109,200,1,1,4,153687,562,0,0,0,0,1,0,3,0,0,1,0,1
121,710,CHN,Manchurian,16667,50000,33333,20000,60000,40000,1931,12,19,1933,5,6,-999,-999,-999,-999,-999,-999,505,50000,2,0,1,487039,1700,0,0,0,0,1,0,3,0,0,1,0,0
121,740,JPN,Manchurian,3333,10000,6667,20000,60000,40000,1931,12,19,1933,5,6,-999,-999,-999,-999,-999,-999,505,10000,1,1,4,65457,292,0,0,0,0,1,0,3,0,0,1,0,0
124,145,BOL,Chaco,25000,25000,25000,37000,37000,37000,1932,6,15,1935,6,12,-999,-999,-999,-999,-999,-999,1093,56661,2,0,1,2503,7,1,0,0,0,0,0,3,0,0,0,0,0
