ID,Year,WarNo,WarName,bdeadlow,bdeadhigh,bdeadbest,yrlydata,YrBeg1,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,Duration,Deaths,CenSubSy,SubSysEa,MajPowIn,MajPowEa,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
1001912,1912,100,First Balkan,31500,35500,31500,0,1912,10,17,1913,4,19,-999,-999,-999,-999,-999,-999,185,82000,1,1,0,0,0,1,0,0,0,0,0,3
1001913,1913,100,First Balkan,31500,35500,31500,0,1912,10,17,1913,4,19,-999,-999,-999,-999,-999,-999,185,82000,1,1,0,0,0,1,0,0,0,0,0,3
1031913,1913,103,Second Balkan,26700,71000,26700,1,1913,6,30,1913,7,30,-999,-999,-999,-999,-999,-999,31,60500,1,1,0,0,0,1,0,0,0,0,0,3
1061914,1914,106,World War I: European Theater,2804974,2804974,2804974,1,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,1,0,0,0,0,0,3
1061915,1915,106,World War I: European Theater,1865000,1865000,1865000,1,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,1,0,0,0,0,0,3
1061916,1916,106,World War I: European Theater,1065260,1065260,1065260,1,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,1,0,0,0,0,0,3
1061917,1917,106,World War I: European Theater,798770,798770,798770,1,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,1,0,0,0,0,0,3
1061918,1918,106,World War I: European Theater,1382500,1382500,1382500,1,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,1,0,0,0,0,0,3
1071914,1914,107,World War I: Middle Eastern Theater,165591,165591,165591,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,0,1,0,0,0,3
1071915,1915,107,World War I: Middle Eastern Theater,165591,165591,165591,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,0,1,0,0,0,3
1071916,1916,107,World War I: Middle Eastern Theater,165591,165591,165591,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,0,1,0,0,0,3
1071917,1917,107,World War I: Middle Eastern Theater,165591,165591,165591,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,0,1,0,0,0,3
1071918,1918,107,World War I: Middle Eastern Theater,165592,165592,165592,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,0,1,0,0,0,3
1081918,1914,108,World War I: Far Eastern Theater,627,627,627,1,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,0,0,1,0,0,3
1051914,1914,105,World War I: Sub-Saharan African Theater,1509,1509,1509,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,1,0,0,0,0,3
1051915,1915,105,World War I: Sub-Saharan African Theater,1509,1509,1509,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,1,0,0,0,0,3
1051916,1916,105,World War I: Sub-Saharan African Theater,1510,1510,1510,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,1,0,0,0,0,3
1051917,1917,105,World War I: Sub-Saharan African Theater,1510,1510,1510,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,1,0,0,0,0,3
1051918,1918,105,World War I: Sub-Saharan African Theater,1510,1510,1510,0,1914,7,29,1918,11,11,-999,-999,-999,-999,-999,-999,1567,8578031,1,1,1,1,0,0,1,0,0,0,0,3
1091919,1919,109,Russo-Polish,20139,20139,20139,0,1919,2,14,1920,10,18,-999,-999,-999,-999,-999,-999,613,100000,1,1,0,0,0,1,0,0,0,0,1,3
1091920,1920,109,Russo-Polish,20139,20139,20139,0,1919,2,14,1920,10,18,-999,-999,-999,-999,-999,-999,613,100000,1,1,0,0,0,1,0,0,0,0,1,3
1121919,1919,112,Hungarian-Allies,6670,6670,6670,1,1919,4,16,1919,8,4,-999,-999,-999,-999,-999,-999,111,11000,1,1,0,0,0,1,0,0,0,0,0,3
1151919,1919,115,Greco-Turkish,8090,8090,8090,0,1919,5,5,1922,10,11,-999,-999,-999,-999,-999,-999,1256,50000,1,1,0,0,0,1,0,0,0,0,0,3
1151920,1920,115,Greco-Turkish,8090,8090,8090,0,1919,5,5,1922,10,11,-999,-999,-999,-999,-999,-999,1256,50000,1,1,0,0,0,1,0,0,0,0,0,3
1151921,1921,115,Greco-Turkish,8091,8091,8091,0,1919,5,5,1922,10,11,-999,-999,-999,-999,-999,-999,1256,50000,1,1,0,0,0,1,0,0,0,0,0,3
1151922,1922,115,Greco-Turkish,8091,8091,8091,0,1919,5,5,1922,10,11,-999,-999,-999,-999,-999,-999,1256,50000,1,1,0,0,0,1,0,0,0,0,0,3
1161919,1919,116,Franco-Turkish,333,13333,333,0,1919,11,1,1921,10,20,-999,-999,-999,-999,-999,-999,720,40000,1,1,1,0,0,0,0,1,0,0,3,3
1161920,1920,116,Franco-Turkish,333,13333,333,0,1919,11,1,1921,10,20,-999,-999,-999,-999,-999,-999,720,40000,1,1,1,0,0,0,0,1,0,0,3,3
1161921,1921,116,Franco-Turkish,334,13334,334,0,1919,11,1,1921,10,20,-999,-999,-999,-999,-999,-999,720,40000,1,1,1,0,0,0,0,1,0,0,3,3
1171920,1920,117,Lithuanian-Polish,1000,1000,1000,1,1920,7,15,1920,12,1,-999,-999,-999,-999,-999,-999,140,1000,1,1,0,0,0,1,0,0,0,0,3,3
1181929,1929,118,Sino-Soviet,1178,3200,2189,1,1929,8,17,1929,12,3,-999,-999,-999,-999,-999,-999,109,3200,0,0,1,0,0,0,0,0,1,0,1,3
1211931,1931,121,Manchurian,6666,20000,13333,0,1931,12,19,1933,5,6,-999,-999,-999,-999,-999,-999,505,60000,0,0,1,0,0,0,0,0,1,0,0,3
